OrderID,QuantityReturned,PurchaseAmount,CustomerAccountAge,PreviousReturns,PreviousFraudReports,RefundIssued,ProductCategory_Beauty & Health,ProductCategory_Books,ProductCategory_Clothing,ProductCategory_Electronics,ProductCategory_Home & Garden,ReasonForReturn_Defective,ReasonForReturn_Did not like,ReasonForReturn_No longer needed,ReasonForReturn_Not as described,ReasonForReturn_Wrong item,ReturnCondition_Complete,ReturnCondition_Damaged,ReturnCondition_Defective,ReturnCondition_Opened,ReturnCondition_Unopened,DeliveryType_Express,DeliveryType_Standard
4582,1.1793491193734709,0.3202915800587077,1.3640165741570693,0.14285714285714285,0.0,558.6748421,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
9347,0.790567225127181,0.5092330152221001,0.9552953693105565,0.7142857142857142,0.0,221.4086052,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
6285,0.013003436634601361,0.7667778284783382,-1.1700548958913097,0.7142857142857142,0.5,414.9720476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1606,-1.542124140350558,1.5344561799583858,-1.318680788562769,0.3571428571428571,0.0,319.2693357,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5208,-0.3757784576116885,1.359052602093097,-0.9595015479400759,0.42857142857142855,0.5,285.950816,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
9242,-1.542124140350558,0.4902374201912403,0.8215320659062433,0.42857142857142855,0.0,453.031619,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
9917,-0.3757784576116885,1.5457440429019664,-1.3855624402649256,0.5,0.0,533.584328,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
180,0.013003436634601361,-0.6904795009611934,-0.0900400758120397,0.14285714285714285,0.0,555.8051103,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3705,0.013003436634601361,0.7595502469932784,-0.9099595837162562,0.0,0.5,270.7507703,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5685,-0.3757784576116885,1.6955653549893661,-0.19160110247087014,0.14285714285714285,1.0,284.2765316,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5771,-0.3757784576116885,-1.4084804533612496,1.6711767523447516,0.3571428571428571,0.5,440.571651,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1979,1.1793491193734709,-0.6554266518456253,1.1906196993737002,0.0,0.0,458.2901988,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8473,-0.7645603518579783,-1.4190276734576541,0.5366657716192799,0.5,0.0,527.4996829,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1661,0.790567225127181,-0.05072471578675306,1.4853943865054275,0.42857142857142855,1.0,596.6720975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2583,0.790567225127181,-0.8423755136773049,1.4507150115487537,0.5,0.5,287.515448,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8579,-0.7645603518579783,0.8344319703143793,-0.7935359677902798,0.8571428571428571,0.5,522.4410059,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2346,-1.542124140350558,1.5670379071551233,-0.7068375303985953,0.0,0.0,553.1634506,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
