OrderID,QuantityReturned,PurchaseAmount,CustomerAccountAge,PreviousReturns,PreviousFraudReports,RefundIssued,ProductCategory_Beauty & Health,ProductCategory_Books,ProductCategory_Clothing,ProductCategory_Electronics,ProductCategory_Home & Garden,ReasonForReturn_Defective,ReasonForReturn_Did not like,ReasonForReturn_No longer needed,ReasonForReturn_Not as described,ReasonForReturn_Wrong item,ReturnCondition_Complete,ReturnCondition_Damaged,ReturnCondition_Defective,ReturnCondition_Opened,ReturnCondition_Unopened,DeliveryType_Express,DeliveryType_Standard
6335,0.39359560050286596,0.5776144303889468,1.656620284280421,0.14285714285714285,0.0,230.7119336,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2959,-0.38101289011778394,-1.4761111199480232,-0.0020546488289298914,0.7142857142857142,0.5,105.4830669,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9076,0.39359560050286596,-0.6073034097430754,-0.08326573605831947,0.14285714285714285,1.0,323.1537634,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7676,1.1682040911235159,0.6925250729223899,-1.2128381311580108,0.07142857142857142,1.0,451.8262279,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5522,1.5555083364338407,-1.2283227312005964,0.3055631058278488,1.0,0.0,437.6168507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3946,0.7808998458131908,1.4291288640769382,1.538495066492218,0.3571428571428571,0.5,261.4638459,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2997,0.006291355192541008,-0.4961390844916042,1.358846297772659,0.5,0.5,591.2729984,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
9200,-1.5429256260487587,-1.1337645525557487,-1.1045566815188248,0.8571428571428571,0.5,91.68655554,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
249,0.006291355192541008,-1.5996254441175464,0.6427121649316783,0.5714285714285714,1.0,503.2714287,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3715,-1.155621380738434,-0.7192873851691732,0.9134157890296435,0.21428571428571427,1.0,546.5201465,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4244,-1.155621380738434,0.8855460471692036,-0.8313921153836052,0.7857142857142857,1.0,337.5291984,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
69,-0.38101289011778394,1.0207878963329706,0.5098212949199499,0.6428571428571428,0.0,101.2053202,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
7445,1.1682040911235159,-0.6326005500831069,-0.2702973308896409,0.42857142857142855,0.0,369.2589672,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
7760,-0.38101289011778394,-0.09914483843979473,-1.535221538038315,0.3571428571428571,0.5,290.5490216,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1308,-0.7683171354281089,-0.27071177705265753,1.1398224564570327,0.21428571428571427,0.5,428.075875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2236,0.006291355192541008,1.1995214903665599,1.6935344148392344,0.5,1.0,137.2775104,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
7338,-0.38101289011778394,1.2444647808651332,0.14560187340632388,0.7142857142857142,0.5,558.4672359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
6555,0.39359560050286596,0.41062574576780175,1.1791975290531003,1.0,1.0,557.8711328,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
9184,-0.38101289011778394,0.9672585324675834,-1.3875650158030612,0.3571428571428571,1.0,220.0244195,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6670,-1.5429256260487587,0.24732023798603003,1.7452141976215731,0.5,1.0,355.5928279,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6614,1.1682040911235159,0.11420636904625651,-0.19893001180926825,0.07142857142857142,0.0,154.8572502,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
366,0.39359560050286596,-0.1954278026176853,-0.43025856331116585,0.0,0.0,396.6194548,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7725,0.006291355192541008,0.3719955145843298,1.6172452116843532,0.6428571428571428,0.5,157.126587,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
